trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",20,8,12.876056911829325,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",25,0,-160.82903368767563,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
105,False,"{'a': 0.01, 'e': 0.49757104789172696}",20,6,16.731219073717945,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.01, 'e': 0.4888720818605275}",30,0,-104.99489240075837,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
107,False,"{'a': 0.01, 'e': 0.4801242290285341}",35,0,-80.01501539119043,"{0: 28, 1: 0, 2: 4, 3: 2, 4: 1}",0
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",25,0,30.95384094048423,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",25,13,21.46628939035881,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",20,0,26.162309630282287,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
111,False,"{'a': 0.01, 'e': 0.4446615167417068}",20,0,5.480432205746446,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
112,False,"{'a': 0.01, 'e': 0.4356824462767121}",35,20,-25.492664127286602,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",20,5,-54.9039826764802,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 1}",1
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",25,13,11.969594117987292,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",25,0,-38.531006053504896,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",20,0,-14.13234953829594,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",25,17,14.943026226613245,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.38092482436688185}",20,0,-51.4268149025158,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
119,False,"{'a': 0.01, 'e': 0.371659872260533}",25,10,-14.511512979516699,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",30,0,-41.76126649707935,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 1}",0
121,False,"{'a': 0.01, 'e': 0.3530194012193304}",20,5,16.10092391428469,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",25,12,10.921060899000011,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",20,16,9.59198477781004,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",35,14,8.75416434085559,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",20,10,2.840478176529813,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.30581690837828934}",30,0,-86.85008532565267,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
127,False,"{'a': 0.01, 'e': 0.29628087292531874}",25,5,-22.255704218132166,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",1
128,False,"{'a': 0.01, 'e': 0.2867152096319555}",25,4,-2.5224058849504933,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.2771208750565576}",35,11,-19.123011713193115,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 1}",1
130,False,"{'a': 0.01, 'e': 0.26749882862458735}",20,16,5.985439523143732,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.01, 'e': 0.25785003253266964}",20,0,-1.726164141495058,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
132,False,"{'a': 0.01, 'e': 0.2481754516523729}",25,4,9.395909609438272,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.23847605343372313}",25,0,-93.1643748258332,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 3}",0
134,False,"{'a': 0.01, 'e': 0.22875280780845939}",20,4,23.64843772229498,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.01, 'e': 0.2190066870930415}",20,8,3.1325071939491798,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.01, 'e': 0.20923866589141926}",20,13,9.693274868940271,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.19944972099757285}",20,2,-43.57039031572537,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 1}",1
138,False,"{'a': 0.01, 'e': 0.18964083129783424}",25,16,12.690113422222144,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.17981297767299936}",20,14,9.594886425024587,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.16996714290024081}",25,0,7.047824446598176,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
141,False,"{'a': 0.01, 'e': 0.16010431155483126}",30,11,4.955846647985598,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
142,False,"{'a': 0.01, 'e': 0.15022546991168584}",20,4,17.538456852604963,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.01, 'e': 0.14033160584673673}",20,4,-32.54748990797371,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
144,False,"{'a': 0.01, 'e': 0.13042370873814554}",20,7,16.344898966913615,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.01, 'e': 0.12050276936736662}",20,6,13.810917074648332,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.11056977982006959}",30,14,28.149079339624105,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.10062573338693173}",25,7,-104.17620779849365,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 3}",1
